"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2023";"0000";"15,9";"16,0";"15,7";"100,0";"100,0";"99,0";"15,9";"15,9";"15,6";"934,5";"934,6";"934,5";"0,9";"165,0";"3,6";"";"0,0"
"01/07/2023";"0100";"15,9";"16,1";"15,8";"100,0";"100,0";"100,0";"15,9";"16,0";"15,8";"934,5";"934,5";"934,4";"0,5";"106,0";"2,6";"";"0,0"
"01/07/2023";"0200";"16,0";"16,1";"15,9";"100,0";"100,0";"100,0";"16,0";"16,1";"15,9";"934,6";"934,6";"934,4";"1,1";"117,0";"2,5";"";"0,0"
"01/07/2023";"0300";"16,0";"16,1";"16,0";"100,0";"100,0";"100,0";"16,0";"16,1";"16,0";"934,4";"934,6";"934,4";"0,8";"100,0";"2,5";"";"0,0"
"01/07/2023";"0400";"14,9";"16,1";"14,9";"100,0";"100,0";"99,0";"14,8";"16,0";"14,8";"934,1";"934,4";"934,1";"0,7";"73,0";"1,9";"";"0,0"
"01/07/2023";"0500";"14,3";"14,9";"14,3";"100,0";"100,0";"100,0";"14,3";"14,8";"14,3";"933,6";"934,1";"933,6";"0,8";"81,0";"1,7";"";"0,0"
"01/07/2023";"0600";"14,4";"14,5";"14,1";"100,0";"100,0";"100,0";"14,3";"14,5";"14,1";"932,9";"933,6";"932,9";"0,7";"23,0";"1,9";"";"0,0"
"01/07/2023";"0700";"14,5";"14,5";"14,3";"100,0";"100,0";"100,0";"14,5";"14,5";"14,3";"932,3";"933,0";"932,3";"1,0";"50,0";"3,3";"";"0,0"
"01/07/2023";"0800";"14,8";"14,8";"14,5";"100,0";"100,0";"100,0";"14,8";"14,8";"14,5";"932,1";"932,3";"932,1";"0,7";"75,0";"2,7";"";"0,0"
"01/07/2023";"0900";"15,0";"15,0";"14,8";"100,0";"100,0";"100,0";"15,0";"15,0";"14,8";"932,4";"932,5";"932,1";"0,8";"21,0";"2,5";"";"0,0"
"01/07/2023";"1000";"14,8";"15,1";"14,8";"100,0";"100,0";"100,0";"14,8";"15,1";"14,8";"932,6";"932,7";"932,4";"0,9";"343,0";"2,8";"0,80";"0,0"
"01/07/2023";"1100";"15,1";"15,1";"14,8";"100,0";"100,0";"100,0";"15,1";"15,1";"14,8";"932,8";"932,8";"932,6";"1,2";"12,0";"3,4";"97,20";"0,0"
"01/07/2023";"1200";"16,1";"16,5";"15,1";"93,0";"100,0";"93,0";"15,0";"15,6";"15,0";"933,1";"933,1";"932,6";"1,2";"328,0";"4,9";"566,20";"0,0"
"01/07/2023";"1300";"18,6";"18,6";"16,1";"81,0";"94,0";"81,0";"15,3";"16,0";"14,9";"932,9";"933,2";"932,9";"1,5";"325,0";"3,6";"1231,20";"0,0"
"01/07/2023";"1400";"20,8";"20,9";"18,5";"69,0";"82,0";"68,0";"14,9";"15,9";"14,5";"932,5";"932,9";"932,5";"1,8";"325,0";"4,4";"1841,10";"0,0"
"01/07/2023";"1500";"21,7";"22,8";"20,5";"59,0";"70,0";"57,0";"13,4";"15,4";"13,2";"931,7";"932,5";"931,7";"2,1";"291,0";"5,4";"2123,50";"0,0"
"01/07/2023";"1600";"23,3";"23,5";"21,7";"49,0";"63,0";"46,0";"12,0";"14,9";"11,1";"930,8";"931,7";"930,8";"1,1";"273,0";"5,3";"2175,60";"0,0"
"01/07/2023";"1700";"22,9";"24,4";"22,9";"48,0";"54,0";"40,0";"11,3";"13,3";"9,4";"930,2";"930,8";"930,2";"1,5";"198,0";"4,9";"2020,50";"0,0"
"01/07/2023";"1800";"18,8";"23,1";"18,4";"93,0";"96,0";"47,0";"17,7";"18,2";"10,9";"930,5";"930,5";"930,2";"3,6";"145,0";"8,0";"1215,00";"0,0"
"01/07/2023";"1900";"17,6";"18,9";"17,6";"89,0";"94,0";"86,0";"15,7";"17,7";"15,5";"930,7";"930,7";"930,5";"4,3";"156,0";"8,1";"1012,80";"0,0"
"01/07/2023";"2000";"16,5";"17,6";"16,5";"96,0";"96,0";"89,0";"15,8";"15,9";"15,4";"931,2";"931,2";"930,7";"3,2";"148,0";"8,4";"246,50";"0,0"
"01/07/2023";"2100";"16,0";"16,5";"16,0";"100,0";"100,0";"96,0";"15,9";"16,0";"15,8";"931,8";"931,8";"931,2";"3,0";"151,0";"7,4";"35,00";"0,0"
"01/07/2023";"2200";"15,9";"16,0";"15,8";"99,0";"100,0";"99,0";"15,8";"15,9";"15,7";"932,1";"932,2";"931,8";"1,9";"179,0";"6,8";"";"0,0"
"01/07/2023";"2300";"15,8";"16,0";"15,8";"99,0";"100,0";"99,0";"15,7";"15,9";"15,7";"932,4";"932,4";"932,1";"1,9";"171,0";"4,7";"";"0,0"
"02/07/2023";"0000";"15,8";"15,8";"15,7";"100,0";"100,0";"99,0";"15,8";"15,8";"15,7";"932,3";"932,4";"932,2";"1,5";"175,0";"4,4";"";"0,0"
"02/07/2023";"0100";"15,2";"15,8";"15,2";"100,0";"100,0";"98,0";"15,2";"15,8";"15,2";"932,4";"932,4";"932,3";"0,8";"206,0";"4,0";"";"0,0"
"02/07/2023";"0200";"14,5";"15,2";"14,5";"100,0";"100,0";"99,0";"14,5";"15,1";"14,5";"932,1";"932,4";"932,1";"0,5";"260,0";"2,6";"";"0,0"
"02/07/2023";"0300";"14,3";"14,5";"13,8";"100,0";"100,0";"100,0";"14,3";"14,5";"13,8";"931,9";"932,1";"931,8";"0,6";"263,0";"2,1";"";"0,0"
"02/07/2023";"0400";"13,4";"14,3";"13,4";"100,0";"100,0";"100,0";"13,4";"14,3";"13,4";"931,3";"931,9";"931,3";"0,7";"282,0";"2,1";"";"0,0"
"02/07/2023";"0500";"12,9";"13,5";"12,9";"100,0";"100,0";"100,0";"12,9";"13,5";"12,9";"931,0";"931,5";"931,0";"0,6";"194,0";"1,6";"";"0,0"
"02/07/2023";"0600";"13,0";"13,2";"12,9";"100,0";"100,0";"100,0";"13,0";"13,2";"12,9";"930,9";"931,1";"930,8";"1,3";"197,0";"2,3";"";"0,0"
"02/07/2023";"0700";"13,4";"13,4";"13,0";"100,0";"100,0";"100,0";"13,4";"13,4";"13,0";"930,6";"930,9";"930,6";"1,1";"201,0";"3,9";"";"0,2"
"02/07/2023";"0800";"13,8";"13,8";"13,4";"100,0";"100,0";"100,0";"13,8";"13,8";"13,4";"930,8";"930,8";"930,6";"1,0";"187,0";"2,5";"";"0,0"
"02/07/2023";"0900";"14,0";"14,1";"13,8";"99,0";"100,0";"97,0";"13,8";"13,9";"13,5";"930,9";"930,9";"930,8";"0,6";"264,0";"3,0";"1,20";"0,0"
"02/07/2023";"1000";"12,7";"14,0";"12,7";"100,0";"100,0";"97,0";"12,7";"13,8";"12,7";"931,2";"931,2";"930,9";"0,6";"276,0";"1,8";"0,90";"0,0"
"02/07/2023";"1100";"14,5";"14,5";"12,6";"91,0";"100,0";"91,0";"13,0";"13,6";"12,6";"931,5";"931,5";"931,2";"1,3";"323,0";"2,1";"169,20";"0,0"
"02/07/2023";"1200";"16,1";"16,1";"14,5";"86,0";"91,0";"83,0";"13,7";"13,7";"12,6";"932,0";"932,1";"931,5";"1,2";"286,0";"3,3";"898,30";"0,0"
"02/07/2023";"1300";"16,7";"17,6";"15,9";"82,0";"86,0";"73,0";"13,6";"14,1";"12,3";"932,3";"932,3";"932,0";"1,6";"111,0";"3,3";"1519,10";"0,0"
"02/07/2023";"1400";"17,1";"17,8";"16,5";"80,0";"86,0";"74,0";"13,6";"14,8";"12,5";"932,3";"932,5";"932,2";"2,8";"151,0";"5,7";"1898,10";"0,0"
"02/07/2023";"1500";"17,7";"18,2";"16,7";"74,0";"81,0";"73,0";"12,9";"14,2";"12,9";"931,9";"932,3";"931,9";"2,8";"164,0";"5,6";"2134,80";"0,0"
"02/07/2023";"1600";"18,1";"18,4";"17,1";"78,0";"80,0";"73,0";"14,1";"14,3";"12,9";"930,9";"931,9";"930,8";"2,1";"120,0";"6,2";"1893,80";"0,0"
